TIME,HUMIDITY,TEMPERATURE,PRESSURE 
1512616527127,41.8449478149,31.3049106598,1018.83984375
1512616528128,41.7937316895,31.2866630554,1018.81811523
1512616529140,41.7937316895,31.4326400757,1018.81689453
1512616530148,41.7971458435,31.3961448669,1018.83105469
1512616531155,42.2000579834,31.3414039612,1018.83105469
1512616532163,41.4830093384,31.3961448669,1018.83911133
